Frequency (Hz)	Level (dB)
734.820557	-67.399605
735.493469	-69.229836
736.166382	-65.966431
736.839294	-64.278946
737.512207	-69.909462
738.185120	-67.636215
738.858032	-65.952988
739.530945	-69.319450
740.203857	-67.595238
740.876770	-66.955688
741.549683	-66.620491
742.222595	-67.109459
742.895508	-68.315002
743.568420	-67.265282
744.241333	-67.387306
744.914246	-68.188972
745.587158	-65.919769
746.260071	-66.603783
746.932983	-66.540474
747.605896	-66.511833
748.278809	-67.958801
748.951721	-69.127014
749.624634	-65.211037
750.297546	-68.805458
750.970459	-70.976387
751.643372	-68.381271
752.316284	-69.467186
752.989197	-69.446472
753.662109	-69.106987
754.335022	-70.428566
755.007935	-68.715134
755.680847	-67.814865
756.353760	-68.905922
757.026672	-67.344765
757.699585	-67.460724
758.372498	-69.410561
759.045410	-66.510048
759.718323	-66.485573
760.391235	-67.441856
761.064148	-68.392303
761.737061	-67.692741
762.409973	-66.376991
763.082886	-67.035301
763.755798	-66.020851
764.428711	-69.185341
765.101624	-66.190979
765.774536	-68.575409
766.447449	-68.497536
767.120361	-67.650925
767.793274	-70.194374
768.466187	-66.158012
769.139099	-67.891090
769.812012	-68.208809
770.484924	-66.988464
771.157837	-66.885963
771.830750	-67.268341
772.503662	-69.085739
773.176575	-67.903633
773.849487	-67.071381
774.522400	-67.107132
775.195312	-67.826889
775.868225	-66.725754
776.541138	-67.900551
777.214050	-66.539169
777.886963	-66.953079
778.559875	-66.041954
779.232788	-65.429390
779.905701	-68.810509
780.578613	-66.106987
781.251526	-65.851677
781.924438	-65.589462
782.597351	-67.713631
783.270264	-64.339699
783.943176	-65.638550
784.616089	-64.958054
785.289001	-65.315460
785.961914	-65.837776
786.634827	-65.734917
787.307739	-67.987053
787.980652	-66.066269
788.653564	-65.728691
789.326477	-62.995148
789.999390	-65.675209
790.672302	-63.809452
791.345215	-63.553799
792.018127	-65.153709
792.691040	-64.620010
793.363953	-63.545902
794.036865	-63.291119
794.709778	-61.386669
795.382690	-63.899361
796.055603	-62.539116
796.728516	-63.022697
797.401428	-63.756268
798.074341	-64.839333
798.747253	-62.099842
799.420166	-61.239792
800.093079	-63.950909
800.765991	-62.081566
801.438904	-62.759392
802.111816	-60.867527
802.784729	-64.009415
803.457642	-61.265717
804.130554	-60.350483
804.803467	-59.996967
805.476379	-59.688278
806.149292	-59.138824
806.822205	-59.494797
807.495117	-58.267490
808.168030	-57.582638
808.840942	-57.169991
809.513855	-55.882141
810.186768	-56.993706
810.859680	-57.351921
811.532593	-57.150105
812.205505	-57.610649
812.878418	-55.164524
813.551331	-55.098854
814.224243	-53.143402
814.897156	-54.702034
815.570068	-54.822430
816.242981	-53.349125
816.915894	-52.530331
817.588806	-51.327328
818.261719	-54.313366
818.934631	-52.911678
819.607544	-50.978340
820.280457	-51.437340
820.953369	-51.089859
821.626282	-54.246346
822.299194	-51.406368
822.972107	-50.389790
823.645020	-52.939365
824.317932	-54.470921
824.990845	-54.909405
825.663757	-55.037151
826.336670	-56.091736
827.009583	-55.412117
827.682495	-56.275276
828.355408	-56.461983
829.028320	-55.109657
829.701233	-56.086811
830.374146	-56.030499
831.047058	-57.633678
831.719971	-56.539150
832.392883	-59.601334
833.065796	-56.630341
833.738708	-57.807812
834.411621	-58.555244
835.084534	-60.468147
835.757446	-60.061726
836.430359	-57.767376
837.103271	-60.034470
837.776184	-60.618645
838.449097	-60.501003
839.122009	-60.088352
839.794922	-59.976112
840.467834	-61.701077
841.140747	-61.951958
841.813660	-60.791836
842.486572	-61.728348
843.159485	-61.171574
843.832397	-62.027718
844.505310	-62.584576
845.178223	-61.945232
845.851135	-64.025108
846.524048	-63.191383
847.196960	-62.769253
847.869873	-61.435383
848.542786	-61.879948
849.215698	-64.341576
849.888611	-63.148758
