Frequency (Hz)	Level (dB)
732.801819	-69.041809
733.474731	-68.436134
734.147644	-69.359291
734.820557	-69.007652
735.493469	-70.256172
736.166382	-67.797157
736.839294	-66.501740
737.512207	-70.820312
738.185120	-70.200371
738.858032	-68.088036
739.530945	-71.480179
740.203857	-69.229805
740.876770	-68.695335
741.549683	-68.438438
742.222595	-68.451530
742.895508	-69.836487
743.568420	-69.147881
744.241333	-69.190369
744.914246	-68.853706
745.587158	-67.977661
746.260071	-68.199715
746.932983	-68.608139
747.605896	-69.045990
748.278809	-69.893883
748.951721	-71.134666
749.624634	-66.624107
750.297546	-69.990471
750.970459	-72.274651
751.643372	-70.899925
752.316284	-71.207176
752.989197	-70.380363
753.662109	-70.428314
754.335022	-72.169678
755.007935	-70.154434
755.680847	-69.195053
756.353760	-71.065903
757.026672	-69.739029
757.699585	-69.346657
758.372498	-72.066162
759.045410	-69.526978
759.718323	-68.926117
760.391235	-69.985550
761.064148	-70.297516
761.737061	-69.261909
762.409973	-68.666847
763.082886	-69.860718
763.755798	-68.207207
764.428711	-71.981079
765.101624	-69.362427
765.774536	-71.008629
766.447449	-72.604637
767.120361	-70.508987
767.793274	-71.715012
768.466187	-68.666161
769.139099	-72.106697
769.812012	-70.786606
770.484924	-69.661659
771.157837	-70.201187
771.830750	-70.141571
772.503662	-71.047829
773.176575	-71.520111
773.849487	-70.119415
774.522400	-70.389053
775.195312	-69.898102
775.868225	-69.740639
776.541138	-71.199745
777.214050	-71.262680
777.886963	-70.962326
778.559875	-69.980743
779.232788	-69.982628
779.905701	-72.054916
780.578613	-68.805923
781.251526	-70.418800
781.924438	-70.525360
782.597351	-72.608612
783.270264	-68.844795
783.943176	-70.760078
784.616089	-69.630974
785.289001	-70.211464
785.961914	-71.439674
786.634827	-71.364883
787.307739	-73.846458
787.980652	-70.286156
788.653564	-71.209686
789.326477	-68.765175
789.999390	-70.933510
790.672302	-69.388046
791.345215	-69.198799
792.018127	-71.000809
792.691040	-70.603035
793.363953	-69.645630
794.036865	-69.855728
794.709778	-68.075752
795.382690	-70.466179
796.055603	-69.429367
796.728516	-70.243805
797.401428	-71.405861
798.074341	-72.415512
798.747253	-70.524361
799.420166	-68.824310
800.093079	-72.023628
800.765991	-70.057953
801.438904	-71.306412
802.111816	-69.195633
802.784729	-72.368523
803.457642	-70.418694
804.130554	-69.645515
804.803467	-69.636284
805.476379	-69.758820
806.149292	-69.779289
806.822205	-70.109535
807.495117	-68.655472
808.168030	-69.193756
808.840942	-68.912552
809.513855	-67.424179
810.186768	-69.030174
810.859680	-69.738754
811.532593	-69.961906
812.205505	-70.632317
812.878418	-69.050323
813.551331	-69.102592
814.224243	-67.300980
814.897156	-69.449089
815.570068	-69.495262
816.242981	-68.834618
816.915894	-67.770058
817.588806	-67.625130
818.261719	-69.619011
818.934631	-68.885384
819.607544	-66.976128
820.280457	-67.719330
820.953369	-67.273315
821.626282	-70.396973
822.299194	-67.101463
822.972107	-65.725044
823.645020	-67.620415
824.317932	-69.007301
824.990845	-69.008194
825.663757	-69.542175
826.336670	-68.883110
827.009583	-68.800514
827.682495	-68.446442
828.355408	-68.728485
829.028320	-67.053795
829.701233	-67.653252
830.374146	-67.021095
831.047058	-68.189827
831.719971	-67.196465
832.392883	-69.441429
833.065796	-66.284851
833.738708	-67.597748
834.411621	-67.926392
835.084534	-68.972923
835.757446	-68.347694
836.430359	-66.267426
837.103271	-68.578506
837.776184	-68.710495
838.449097	-68.341141
839.122009	-68.132980
839.794922	-67.479652
840.467834	-67.819901
841.140747	-67.467957
841.813660	-66.913254
842.486572	-67.821846
843.159485	-66.446709
843.832397	-66.494812
844.505310	-67.031738
845.178223	-66.824135
845.851135	-68.625084
846.524048	-66.778740
847.196960	-65.785973
847.869873	-65.071625
848.542786	-65.735764
849.215698	-66.792450
849.888611	-65.710289
