Frequency (Hz)	Level (dB)
509.394836	-65.025665
510.067749	-65.897629
510.740662	-65.208519
511.413574	-64.405930
512.086487	-66.088142
512.759399	-66.166115
513.432312	-64.434967
514.105225	-64.152588
514.778137	-63.950390
515.451050	-64.380997
516.123962	-64.681221
516.796875	-64.269127
517.469788	-64.607704
518.142700	-62.414368
518.815613	-64.319717
519.488525	-64.665451
520.161438	-64.391228
520.834351	-62.282436
521.507263	-62.733608
522.180176	-62.862621
522.853088	-62.223732
523.526001	-61.291607
524.198914	-59.934998
524.871826	-62.494179
525.544739	-61.341789
526.217651	-61.253849
526.890564	-60.913471
527.563477	-62.457920
528.236389	-62.921452
528.909302	-62.930740
529.582214	-61.352829
530.255127	-59.922516
530.928040	-60.339363
531.600952	-62.578709
532.273865	-62.627670
532.946777	-61.318413
533.619690	-59.718628
534.292603	-60.951340
534.965515	-62.178379
535.638428	-61.633274
536.311340	-62.685795
536.984253	-62.894634
537.657166	-65.604424
538.330078	-63.001251
539.002991	-61.750343
539.675903	-61.993366
540.348816	-62.193714
541.021729	-65.252617
541.694641	-64.432098
542.367554	-62.474697
543.040466	-62.570591
543.713379	-62.088181
544.386292	-64.014420
545.059204	-64.942856
545.732117	-63.120068
546.405029	-62.661343
547.077942	-63.185787
547.750854	-63.665066
548.423767	-63.881172
549.096680	-64.507820
549.769592	-62.978535
550.442505	-63.343288
551.115417	-62.942841
551.788330	-64.639420
552.461243	-63.880268
553.134155	-65.882607
553.807068	-64.104065
554.479980	-67.268013
555.152893	-64.193138
555.825806	-65.745934
556.498718	-66.878510
557.171631	-66.187981
557.844543	-64.816498
558.517456	-66.196831
559.190369	-66.525215
559.863281	-67.619049
560.536194	-66.810364
561.209106	-69.267769
561.882019	-66.864296
562.554932	-66.027908
563.227844	-67.743584
563.900757	-67.227783
564.573669	-68.705414
565.246582	-70.737045
565.919495	-71.724350
566.592407	-69.065460
567.265320	-68.274544
567.938232	-68.969841
568.611145	-69.427910
569.284058	-70.478966
569.956970	-67.191475
570.629883	-67.951469
571.302795	-67.953865
571.975708	-67.162354
572.648621	-67.680367
573.321533	-68.220642
573.994446	-68.371719
574.667358	-68.987427
575.340271	-69.282379
576.013184	-69.477798
576.686096	-68.251587
577.359009	-71.143219
578.031921	-70.204765
578.704834	-70.118980
579.377747	-71.117157
580.050659	-70.175812
580.723572	-70.690712
581.396484	-71.418701
582.069397	-69.442375
582.742310	-71.774445
583.415222	-70.825806
584.088135	-71.076149
584.761047	-70.418480
585.433960	-71.609154
586.106873	-70.630119
586.779785	-72.342873
587.452698	-70.460464
588.125610	-72.685982
588.798523	-71.425186
589.471436	-71.685196
590.144348	-70.939766
590.817261	-71.627312
591.490173	-71.721527
592.163086	-71.291679
592.835999	-72.002769
593.508911	-71.958870
594.181824	-70.947449
594.854736	-73.487785
595.527649	-71.704330
596.200562	-72.909599
596.873474	-72.481865
597.546387	-73.714195
598.219299	-72.600899
598.892212	-72.144592
599.565125	-71.545425
600.238037	-73.095177
600.910950	-74.925491
601.583862	-71.903152
602.256775	-71.746063
602.929688	-73.305412
603.602600	-71.751801
604.275513	-74.633041
604.948425	-73.266373
605.621338	-71.975319
606.294250	-72.972290
606.967163	-70.307152
607.640076	-71.693298
608.312988	-74.480614
608.985901	-74.179527
609.658813	-73.908501
610.331726	-73.127335
611.004639	-73.458817
611.677551	-73.399033
612.350464	-72.991287
613.023376	-72.989349
613.696289	-76.027473
614.369202	-73.686050
615.042114	-73.989555
615.715027	-74.820969
616.387939	-74.326752
617.060852	-72.748062
617.733765	-73.174507
618.406677	-76.119591
619.079590	-76.716026
619.752502	-73.086731
620.425415	-74.548958
621.098328	-72.336624
621.771240	-74.621651
622.444153	-74.432503
623.117065	-74.769531
623.789978	-72.756180
624.462891	-73.109100
625.135803	-71.581940
625.808716	-72.494133
626.481628	-73.172523
627.154541	-73.121719
627.827454	-73.107407
628.500366	-71.026108
629.173279	-73.316956
629.846191	-73.933372
630.519104	-75.335228
631.192017	-76.218590
631.864929	-75.120926
632.537842	-73.773651
633.210754	-75.241684
633.883667	-75.673584
634.556580	-74.175827
635.229492	-75.161110
635.902405	-77.252670
636.575317	-73.274780
637.248230	-74.088951
637.921143	-72.936012
638.594055	-72.429207
639.266968	-75.097092
639.939880	-75.728119
640.612793	-73.995842
641.285706	-73.358528
641.958618	-72.970947
642.631531	-72.572296
643.304443	-74.572693
643.977356	-73.780083
644.650269	-74.037010
645.323181	-74.546913
645.996094	-74.365334
646.669006	-73.007286
647.341919	-73.641296
648.014832	-74.200073
648.687744	-73.981186
649.360657	-74.348534
650.033569	-74.444366
650.706482	-76.042877
651.379395	-73.849220
652.052307	-74.901260
652.725220	-75.222656
653.398132	-74.010918
654.071045	-73.082428
654.743958	-72.732086
655.416870	-74.360939
656.089783	-76.385765
656.762695	-74.883774
657.435608	-73.843025
658.108521	-73.942093
658.781433	-74.203880
659.454346	-75.040146
